year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
249,2008,Jun,Sat,0,Rivers,Bonny,Bombing/Explosion,Government (General),Nigeria,Explosives
250,2008,Jun,Mon,0,Edo,Unknown,Bombing/Explosion,Utilities,Nigeria,Explosives
251,2008,Jun,Thu,0,Unknown,Unknown,Facility/Infrastructure Attack,Utilities,Nigeria,Unknown
252,2008,Jun,Thu,0,Unknown,Unknown,Hostage Taking (Kidnapping),Maritime,United States,Unknown
253,2008,Jun,Thu,0,Unknown,Unknown,Hostage Taking (Kidnapping),Maritime,United States,Unknown
254,2008,Jun,Thu,0,Unknown,Unknown,Bombing/Explosion,Business,Nigeria,Explosives
255,2008,Jun,Fri,0,Delta,Escravos,Bombing/Explosion,Utilities,Nigeria,Explosives
256,2008,Jun,Sat,0,Delta,Escravos,Bombing/Explosion,Business,Nigeria,Explosives
257,2008,Jun,Sat,0,Lagos,Lagos,Armed Assault,Military,Nigeria,Melee
258,2008,Jan,Mon,0,Benue,Makurdi,Armed Assault,Educational Institution,Nigeria,Firearms
259,2008,Aug,Thu,0,Ondo,Igbokoda,Armed Assault,Government (General),Nigeria,Firearms
260,2008,Jul,Tue,0,Ebonyi,Abakaliki,Armed Assault,Journalists & Media,Nigeria,Firearms
261,2008,Jul,Thu,0,Bayelsa,Tebidaba,Bombing/Explosion,Business,Nigeria,Explosives
262,2008,Jul,Sun,1,Delta,Boji Boji,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
263,2008,Jul,Fri,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Utilities,Multinational,Firearms
264,2008,Jul,Sat,1,Unknown,Unknown,Hostage Taking (Kidnapping),Maritime,Russia,Unknown
